submatrix,d_env,env_sd_mc,cauchy,trait_sds,env_sd_lh,recruitment,dispersal,age_crit,mass_crit,clustering,dispersion,gradient,runtime,extinct,nind,S,index
1,0.703125,9.8453125,16.829687500000002,0.109375,3.3125,4.21875,6.09375,2.484375,6.046875,0.921875,0.453125,correlated,30.028032326698302,FALSE,312460,417,1027
1,0.703125,9.8453125,16.829687500000002,0.109375,3.3125,4.21875,6.09375,2.484375,6.046875,0.921875,0.453125,linear,30.245430227120718,FALSE,311837,416,1028
1,3.203125,4.8953125,4.379687499999999,0.609375,1.3125,9.21875,1.09375,11.984375,15.546875,0.421875,0.953125,random,114.5702577829361,FALSE,527318,343,1029
A,3.28125,4.121875,10.215625,0.09375,2.125,9.6875,7.1875,6.34375,13.46875,0.96875,0.09375,correlated,100.43750648101171,FALSE,566774,447,103
1,3.203125,4.8953125,4.379687499999999,0.609375,1.3125,9.21875,1.09375,11.984375,15.546875,0.421875,0.953125,clustered,103.16143734455109,FALSE,527692,339,1030
1,3.203125,4.8953125,4.379687499999999,0.609375,1.3125,9.21875,1.09375,11.984375,15.546875,0.421875,0.953125,correlated,101.173830195268,FALSE,527538,350,1031
1,3.203125,4.8953125,4.379687499999999,0.609375,1.3125,9.21875,1.09375,11.984375,15.546875,0.421875,0.953125,linear,108.05261658827463,FALSE,527332,343,1032
1,4.453125,2.4203125,10.6046875,0.359375,4.3125,1.71875,8.59375,16.734375,1.296875,0.171875,0.703125,random,344.27781961758933,FALSE,1327236,450,1033
1,4.453125,2.4203125,10.6046875,0.359375,4.3125,1.71875,8.59375,16.734375,1.296875,0.171875,0.703125,clustered,414.47883965969083,FALSE,1329257,449,1034
1,4.453125,2.4203125,10.6046875,0.359375,4.3125,1.71875,8.59375,16.734375,1.296875,0.171875,0.703125,correlated,308.5415729522705,FALSE,1325901,450,1035
1,4.453125,2.4203125,10.6046875,0.359375,4.3125,1.71875,8.59375,16.734375,1.296875,0.171875,0.703125,linear,314.76255727211634,FALSE,1329907,450,1036
1,1.953125,7.3703125,23.0546875,0.859375,2.3125,6.71875,3.59375,7.234375,10.796875,0.671875,0.203125,random,64.2996035416921,FALSE,418388,446,1037
1,1.953125,7.3703125,23.0546875,0.859375,2.3125,6.71875,3.59375,7.234375,10.796875,0.671875,0.203125,clustered,65.08722109794617,FALSE,418497,449,1038
1,1.953125,7.3703125,23.0546875,0.859375,2.3125,6.71875,3.59375,7.234375,10.796875,0.671875,0.203125,correlated,62.422796138127644,FALSE,417800,450,1039
A,3.28125,4.121875,10.215625,0.09375,2.125,9.6875,7.1875,6.34375,13.46875,0.96875,0.09375,linear,87.65646883249283,FALSE,567231,449,104
1,1.953125,7.3703125,23.0546875,0.859375,2.3125,6.71875,3.59375,7.234375,10.796875,0.671875,0.203125,linear,62.229840687910716,FALSE,417815,449,1040
1,0.078125,3.6578125,13.7171875,0.234375,2.8125,7.96875,2.34375,4.859375,17.921875,0.296875,0.078125,random,75.68188138802846,FALSE,475314,449,1041
1,0.078125,3.6578125,13.7171875,0.234375,2.8125,7.96875,2.34375,4.859375,17.921875,0.296875,0.078125,clustered,72.69741155306498,FALSE,474489,450,1042
1,0.078125,3.6578125,13.7171875,0.234375,2.8125,7.96875,2.34375,4.859375,17.921875,0.296875,0.078125,correlated,74.43938119808833,FALSE,475086,450,1043
1,0.078125,3.6578125,13.7171875,0.234375,2.8125,7.96875,2.34375,4.859375,17.921875,0.296875,0.078125,linear,90.58750440677007,FALSE,474739,450,1044
1,2.578125,8.6078125,1.2671875,0.734375,4.8125,2.96875,7.34375,14.359375,8.421875,0.796875,0.578125,random,43.48199604749679,FALSE,232256,77,1045
1,2.578125,8.6078125,1.2671875,0.734375,4.8125,2.96875,7.34375,14.359375,8.421875,0.796875,0.578125,clustered,57.003034996986386,FALSE,232261,89,1046
1,2.578125,8.6078125,1.2671875,0.734375,4.8125,2.96875,7.34375,14.359375,8.421875,0.796875,0.578125,correlated,42.322590013345085,FALSE,231256,88,1047
1,2.578125,8.6078125,1.2671875,0.734375,4.8125,2.96875,7.34375,14.359375,8.421875,0.796875,0.578125,linear,77.06675063769022,FALSE,231602,97,1048
1,3.828125,6.1328125,7.492187499999999,0.484375,1.8125,5.46875,4.84375,19.109375,13.171875,0.546875,0.828125,random,79.52484596570334,FALSE,336866,382,1049
A,2.03125,1.646875,3.990625,0.84375,3.125,2.1875,4.6875,1.59375,8.71875,0.71875,0.34375,random,19.489845832188923,FALSE,189251,443,105
1,3.828125,6.1328125,7.492187499999999,0.484375,1.8125,5.46875,4.84375,19.109375,13.171875,0.546875,0.828125,clustered,76.0559366941452,FALSE,336383,389,1050
1,3.828125,6.1328125,7.492187499999999,0.484375,1.8125,5.46875,4.84375,19.109375,13.171875,0.546875,0.828125,correlated,79.78219625552495,FALSE,337087,384,1051
1,3.828125,6.1328125,7.492187499999999,0.484375,1.8125,5.46875,4.84375,19.109375,13.171875,0.546875,0.828125,linear,73.39367979367574,FALSE,336842,374,1052
1,1.328125,1.1828125,19.9421875,0.984375,3.8125,0.46875,9.84375,9.609375,3.671875,0.046875,0.328125,random,24.75091211795807,FALSE,171679,450,1053
1,1.328125,1.1828125,19.9421875,0.984375,3.8125,0.46875,9.84375,9.609375,3.671875,0.046875,0.328125,clustered,21.608478192488352,FALSE,172249,450,1054
1,1.328125,1.1828125,19.9421875,0.984375,3.8125,0.46875,9.84375,9.609375,3.671875,0.046875,0.328125,correlated,21.577900834878285,FALSE,170806,450,1055
1,1.328125,1.1828125,19.9421875,0.984375,3.8125,0.46875,9.84375,9.609375,3.671875,0.046875,0.328125,linear,21.84199734131495,FALSE,172013,450,1056
1,0.6640625,6.21015625,10.02109375,0.2578125,2.09375,0.390625,1.953125,2.9296875,10.6484375,0.3671875,0.8828125,random,10.96074077685674,FALSE,57331,360,1057
1,0.6640625,6.21015625,10.02109375,0.2578125,2.09375,0.390625,1.953125,2.9296875,10.6484375,0.3671875,0.8828125,clustered,7.971853788693746,FALSE,57017,348,1058
1,0.6640625,6.21015625,10.02109375,0.2578125,2.09375,0.390625,1.953125,2.9296875,10.6484375,0.3671875,0.8828125,correlated,8.14340576728185,FALSE,58512,353,1059
A,2.03125,1.646875,3.990625,0.84375,3.125,2.1875,4.6875,1.59375,8.71875,0.71875,0.34375,clustered,21.58511120080948,FALSE,189332,439,106
1,0.6640625,6.21015625,10.02109375,0.2578125,2.09375,0.390625,1.953125,2.9296875,10.6484375,0.3671875,0.8828125,linear,12.324830075105032,FALSE,57304,355,1060
1,3.1640625,1.26015625,22.47109375,0.7578125,4.09375,5.390625,6.953125,12.4296875,1.1484375,0.8671875,0.3828125,random,415.2288428982099,FALSE,2067554,450,1061
1,3.1640625,1.26015625,22.47109375,0.7578125,4.09375,5.390625,6.953125,12.4296875,1.1484375,0.8671875,0.3828125,clustered,405.9211610794067,FALSE,2108623,450,1062
1,3.1640625,1.26015625,22.47109375,0.7578125,4.09375,5.390625,6.953125,12.4296875,1.1484375,0.8671875,0.3828125,correlated,401.24674451351166,FALSE,2074288,450,1063
1,3.1640625,1.26015625,22.47109375,0.7578125,4.09375,5.390625,6.953125,12.4296875,1.1484375,0.8671875,0.3828125,linear,400.1706540544828,FALSE,2086849,450,1064
1,4.4140625,3.73515625,16.24609375,0.0078125,1.09375,2.890625,4.453125,17.1796875,15.3984375,0.6171875,0.1328125,random,42.99474396705627,FALSE,199189,450,1065
1,4.4140625,3.73515625,16.24609375,0.0078125,1.09375,2.890625,4.453125,17.1796875,15.3984375,0.6171875,0.1328125,clustered,43.388736351331076,FALSE,198300,450,1066
1,4.4140625,3.73515625,16.24609375,0.0078125,1.09375,2.890625,4.453125,17.1796875,15.3984375,0.6171875,0.1328125,correlated,50.19319462776184,FALSE,198092,450,1067
1,4.4140625,3.73515625,16.24609375,0.0078125,1.09375,2.890625,4.453125,17.1796875,15.3984375,0.6171875,0.1328125,linear,45.471542870998384,FALSE,199142,450,1068
1,1.9140625,8.68515625,3.79609375,0.5078125,3.09375,7.890625,9.453125,7.6796875,5.8984375,0.1171875,0.6328125,random,76.21460656722387,FALSE,505103,230,1069
A,2.03125,1.646875,3.990625,0.84375,3.125,2.1875,4.6875,1.59375,8.71875,0.71875,0.34375,correlated,16.612740973631542,FALSE,190014,440,107
1,1.9140625,8.68515625,3.79609375,0.5078125,3.09375,7.890625,9.453125,7.6796875,5.8984375,0.1171875,0.6328125,clustered,78.30383414030075,FALSE,505015,225,1070
1,1.9140625,8.68515625,3.79609375,0.5078125,3.09375,7.890625,9.453125,7.6796875,5.8984375,0.1171875,0.6328125,correlated,80.88567463556926,FALSE,504817,240,1071
1,1.9140625,8.68515625,3.79609375,0.5078125,3.09375,7.890625,9.453125,7.6796875,5.8984375,0.1171875,0.6328125,linear,77.02375588417053,FALSE,504765,240,1072
1,0.0390625,2.4976562500000004,6.90859375,0.3828125,3.59375,6.640625,5.703125,5.3046875,3.5234375,0.9921875,0.5078125,random,74.70798343817393,FALSE,500444,447,1073
1,0.0390625,2.4976562500000004,6.90859375,0.3828125,3.59375,6.640625,5.703125,5.3046875,3.5234375,0.9921875,0.5078125,clustered,78.13632659117381,FALSE,505069,447,1074
1,0.0390625,2.4976562500000004,6.90859375,0.3828125,3.59375,6.640625,5.703125,5.3046875,3.5234375,0.9921875,0.5078125,correlated,59.106081481774645,FALSE,501613,447,1075
1,0.0390625,2.4976562500000004,6.90859375,0.3828125,3.59375,6.640625,5.703125,5.3046875,3.5234375,0.9921875,0.5078125,linear,64.6098155617714,FALSE,504975,450,1076
1,2.5390625,7.44765625,19.35859375,0.8828125,1.59375,1.640625,0.703125,14.8046875,13.0234375,0.4921875,0.0078125,random,31.387534328301747,FALSE,137357,444,1077
1,2.5390625,7.44765625,19.35859375,0.8828125,1.59375,1.640625,0.703125,14.8046875,13.0234375,0.4921875,0.0078125,clustered,27.76309206485748,FALSE,137639,438,1078
1,2.5390625,7.44765625,19.35859375,0.8828125,1.59375,1.640625,0.703125,14.8046875,13.0234375,0.4921875,0.0078125,correlated,32.47757608095805,FALSE,136356,438,1079
A,2.03125,1.646875,3.990625,0.84375,3.125,2.1875,4.6875,1.59375,8.71875,0.71875,0.34375,linear,16.66366048256556,FALSE,189771,444,108
1,2.5390625,7.44765625,19.35859375,0.8828125,1.59375,1.640625,0.703125,14.8046875,13.0234375,0.4921875,0.0078125,linear,27.375651737054188,FALSE,136644,442,1080
1,3.7890625,9.92265625,13.13359375,0.1328125,4.59375,9.140625,8.203125,19.5546875,8.2734375,0.2421875,0.2578125,random,153.5985482652982,FALSE,542931,404,1081
1,3.7890625,9.92265625,13.13359375,0.1328125,4.59375,9.140625,8.203125,19.5546875,8.2734375,0.2421875,0.2578125,clustered,143.56480529705684,FALSE,543311,410,1082
1,3.7890625,9.92265625,13.13359375,0.1328125,4.59375,9.140625,8.203125,19.5546875,8.2734375,0.2421875,0.2578125,correlated,141.05762762228647,FALSE,540541,417,1083
1,3.7890625,9.92265625,13.13359375,0.1328125,4.59375,9.140625,8.203125,19.5546875,8.2734375,0.2421875,0.2578125,linear,128.7100336074829,FALSE,542785,416,1084
1,1.2890625,4.97265625,0.6835937499999999,0.6328125,2.59375,4.140625,3.203125,10.0546875,17.7734375,0.7421875,0.7578125,random,44.85116385618846,FALSE,271851,88,1085
1,1.2890625,4.97265625,0.6835937499999999,0.6328125,2.59375,4.140625,3.203125,10.0546875,17.7734375,0.7421875,0.7578125,clustered,43.980091436704,FALSE,270230,89,1086
1,1.2890625,4.97265625,0.6835937499999999,0.6328125,2.59375,4.140625,3.203125,10.0546875,17.7734375,0.7421875,0.7578125,correlated,44.540172632535295,FALSE,270125,100,1087
1,1.2890625,4.97265625,0.6835937499999999,0.6328125,2.59375,4.140625,3.203125,10.0546875,17.7734375,0.7421875,0.7578125,linear,52.766960708300275,FALSE,269990,91,1088
